"aarmd";"type";"koersels_dato"
"2024M05";"Bus";"2024-08-16 13:57:59"
"2024M07";"Bus";"2024-08-16 13:58:19"
"2024M08";"Bus";"2024-09-10 16:32:07"
"2024M05";"Ladestander";"2024-08-16 13:57:59"
"2024M07";"Ladestander";"2024-08-16 13:58:38"
"2024M08";"Ladestander";"2024-09-16 10:44:17"
"2024M05";"Lastbil";"2024-08-16 13:57:59"
"2024M07";"Lastbil";"2024-08-16 13:58:51"
"2024M08";"Lastbil";"2024-09-10 16:34:08"
"2024M05";"Personbil";"2024-08-16 13:57:59"
"2024M07";"Personbil";"2024-08-16 13:58:56"
"2024M08";"Personbil";"2024-09-10 16:34:26"
